アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,Training Stress Score®,ステップ,減圧,ベストラップタイム,ラップ数,移動時間,経過時間,最低高度,最高高度
ラン,2026-03-01 11:00:02,false,"北区 ラン","10.08","484","00:54:19","167","180","186","195","5:23","4:07","300","299","1.00","0.0","9,696","いいえ","00:00:22.4","11","00:54:09","00:54:19","-13","23"
ラン,2026-02-27 19:47:58,false,"国分寺市 ラン","4.03","183","00:27:40","137","153","171","177","6:52","6:16","28","15","0.85","0.0","4,742","いいえ","00:00:11.2","5","00:27:31","00:28:48","74","92"
ラン,2026-02-26 18:46:15,false,"国分寺市 ラン","13.02","672","01:29:03","151","161","175","184","6:51","5:46","73","70","0.83","0.0","15,584","いいえ","00:00:08.4","14","01:28:57","01:29:38","70","93"
ラン,2026-02-24 19:32:00,false,"国分寺市 ラン","10.02","512","01:08:44","149","161","173","181","6:52","5:47","52","46","0.84","0.0","11,886","いいえ","00:00:06.3","11","01:08:34","01:09:55","70","93"
ラン,2026-02-23 13:56:42,false,"世田谷区 ラン","10.01","521","01:05:38","159","171","177","185","6:33","4:50","116","114","0.86","0.0","11,568","いいえ","00:00:05.9","11","01:05:26","01:05:38","30","56"
ラン,2026-02-23 13:21:01,false,"目黒区 ラン","5.01","198","00:23:03","153","173","182","192","4:36","4:01","21","24","1.19","0.0","3,850","いいえ","00:00:02.4","6","00:22:48","00:23:34","34","44"
ラン,2026-02-20 19:03:29,false,"国分寺市 ラン","11.79","581","01:16:11","152","167","177","190","6:28","5:07","42","49","0.87","0.0","13,484","いいえ","00:04:38.6","12","01:15:59","01:17:09","70","92"
ラン,2026-02-19 19:27:37,false,"国分寺市 ラン","9.84","507","01:04:44","156","182","175","184","6:34","5:25","29","31","0.87","0.0","11,314","いいえ","00:04:57.2","10","01:04:32","01:05:35","70","93"
ラン,2026-02-16 20:48:57,false,"国分寺市 ラン","6.00","300","00:43:46","138","161","163","186","7:17","5:48","46","43","0.83","0.0","7,110","いいえ","00:00:03.7","7","00:43:26","00:45:34","70","95"
ラン,2026-02-15 17:18:46,false,"国分寺市 ラン","8.01","399","00:53:22","146","161","174","186","6:40","5:05","58","59","0.86","0.0","9,278","いいえ","00:00:04.8","9","00:53:09","01:05:16","70","93"
ラン,2026-02-13 16:44:32,false,"国分寺市 ラン","9.75","472","01:00:21","144","169","179","191","6:12","5:06","66","68","0.90","0.0","10,806","いいえ","00:04:43.6","10","01:00:16","01:02:20","70","92"
ラン,2026-02-11 11:00:08,false,"府中市 ラン","9.98","476","00:53:56","159","172","188","196","5:24","4:03","127","93","0.98","0.0","9,846","いいえ","00:04:56.2","10","00:53:53","00:53:56","9","59"
ラン,2026-02-09 20:19:25,false,"国分寺市 ラン","9.75","488","01:01:46","153","167","179","191","6:20","5:16","69","71","0.88","0.0","11,030","いいえ","00:04:27.3","10","01:01:35","01:03:08","70","95"
ラン,2026-02-08 20:27:39,false,"国分寺市 ラン","9.15","443","00:55:55","154","168","178","191","6:07","5:03","58","57","0.92","0.0","9,944","いいえ","00:00:55.3","10","00:55:51","00:57:27","70","92"
ラン,2026-02-06 19:21:27,false,"国分寺市 ラン","9.01","438","00:57:59","149","160","176","188","6:26","5:15","139","133","0.88","0.0","10,194","いいえ","00:00:03.8","10","00:57:52","01:00:06","70","156"
