Vdot,1.5km,5km,10km,ハーフ,フル
30,8:30,30:40,1:03:46,2:21:04,4:49:17
31,8:15,29:51,1:02:03,2:17:21,4:41:57
32,8:02,29:05,1:00:26,2:13:49,4:34:59
33,7:49,28:21,58:54,2:10:27,4:28:22
34,7:37,27:39,57:26,2:07:16,4:22:03
35,7:25,27:00,56:03,2:04:13,4:16:03
36,7:14,26:22,54:44,2:01:19,4:10:19
37,7:04,25:46,53:29,1:58:34,4:04:50
38,6:54,25:12,52:17,1:55:55,3:59:35
39,6:44,24:39,51:09,1:53:24,3:54:34
40,6:35,24:08,50:03,1:50:59,3:49:45
41,6:27,23:38,49:01,1:48:40,3:45:09
42,6:19,23:09,48:01,1:46:27,3:40:43
43,6:11,22:41,47:04,1:44:20,3:36:28
44,6:03,22:15,46:09,1:42:17,3:32:23
45,5:56,21:50,45:16,1:40:20,3:28:26
46,5:49,21:25,44:25,1:38:27,3:24:39
47,5:42,21:02,43:36,1:36:38,3:21:00
48,5:36,20:39,42:50,1:34:53,3:17:29
49,5:30,20:18,42:04,1:33:12,3:14:06
50,5:24,19:57,41:21,1:31:35,3:10:49
51,5:18,19:36,40:39,1:30:02,3:07:39
52,5:13,19:17,39:59,1:28:31,3:04:36
53,5:07,18:58,39:20,1:27:01,3:01:39
54,5:02,18:40,38:42,1:25:40,2:58:47
55,4:57,18:22,38:06,1:24:18,2:56:01
56,4:53,18:05,37:31,1:23:00,2:53:20
57,4:48,17:49,36:57,1:21:43,2:50:45
58,4:44,17:33,36:24,1:20:30,2:48:14
59,4:39,17:17,35:52,1:19:18,2:25:47
60,4:35,17:03,35:22,1:18:09,2:43:25
61,4:31,16:48,34:52,1:17:02,2:41:08
62,4:27,16:34,34:23,1:15:57,2:38:54
63,4:24,16:20,33:55,1:14:54,2:36:44
64,4:20,16:07,33:28,1:13:53,2:34:38
65,4:16,15:54,33:01,1:12:53,2:32:35
66,4:13,15:42,32:35,1:11:56,2:30:36
67,4:10,15:29,32:11,1:11:00,2:28:40
68,4:06,15:18,31:46,1:10:05,2:26:47
69,4:03,15:06,31:23,1:09:12,2:24:57
70,4:00,14:55,31:00,1:08:21,2:23:10
71,3:57,14:44,30:38,1:07:31,2:21:26
72,3:54,14:33,30:16,1:06:42,2:19:44
73,3:52,14:23,29:55,1:05:54,2:18:05
74,3:49,14:13,29:34,1:05:08,2:16:29
75,3:46,14:03,29:14,1:04:23,2:14:55
